BR,rho,rec_sp,don_sp,sensitivity
0.2,0.19,Cm,both,0.9921179293910488
0.2,0.19,Cm,Cc,0.9419537801523519
0.2,0.19,Cm,Ac,0.9819889294872399
0.2,0.19,Cm,both,0.9511075210861242
0.2,0.19,Cm,Cc,0.9409041742584946
0.2,0.19,Cm,Ac,1.0020325491644793
0.2,0.19,Cm,both,1.0149956887239624
0.2,0.19,Cm,Cc,0.9554042315101481
0.2,0.19,Cm,Ac,0.9953074976228418
0.2,0.19,Cm,both,1.0093587957894168
0.2,0.19,Cm,Cc,0.9859360480914221
0.2,0.19,Cm,Ac,0.9967082173162385
