BR,run,Weeks,Cc,Cm,Ac
0.2,8,81,NA,NA,NA
0.2,8,82,NA,NA,NA
0.2,8,83,NA,NA,NA
0.2,8,84,NA,NA,NA
0.2,8,85,NA,NA,NA
0.2,8,86,NA,NA,NA
0.2,8,87,NA,NA,NA
0.2,8,88,NA,NA,NA
0.2,8,89,NA,NA,NA
0.2,8,90,NA,NA,NA
0.2,8,91,NA,NA,NA
0.2,8,92,NA,NA,NA
0.2,8,93,NA,NA,NA
0.2,8,94,NA,NA,NA
0.2,8,95,NA,NA,NA
0.2,8,96,NA,NA,NA
0.2,8,97,NA,NA,NA
0.2,8,98,NA,NA,NA
0.2,8,99,NA,NA,NA
0.2,8,100,NA,NA,NA
0.2,8,101,NA,NA,NA
0.2,9,1,20,20,NA
0.2,9,2,10,20,NA
0.2,9,3,25,20,NA
0.2,9,4,208,90,NA
0.2,9,5,132,150,NA
0.2,9,6,173,143,NA
0.2,9,7,226,61,NA
0.2,9,8,233,75,NA
0.2,9,9,70,220,0
0.2,9,10,129,185,12
0.2,9,11,243,13,80
0.2,9,12,61,38,94
0.2,9,13,6,40,240
0.2,9,14,18,47,209
0.2,9,15,49,4,195
0.2,9,16,30,37,143
0.2,9,17,12,72,114
0.2,9,18,60,12,140
0.2,9,19,46,14,118
0.2,9,20,15,67,144
0.2,9,21,7,67,101
0.2,9,22,90,3,163
0.2,9,23,33,22,105
0.2,9,24,19,62,120
0.2,9,25,17,62,150
0.2,9,26,81,3,145
0.2,9,27,65,5,101
0.2,9,28,6,42,106
0.2,9,29,4,41,183
0.2,9,30,55,6,209
0.2,9,31,45,5,193
0.2,9,32,2,88,113
0.2,9,33,33,68,117
0.2,9,34,69,0,115
0.2,9,35,7,99,115
0.2,9,36,17,64,147
0.2,9,37,50,22,148
0.2,9,38,23,42,155
0.2,9,39,6,70,161
0.2,9,40,31,44,102
0.2,9,41,25,39,126
0.2,9,42,0,106,123
0.2,9,43,15,102,109
0.2,9,44,53,40,80
0.2,9,45,0,128,103
0.2,9,46,2,119,98
0.2,9,47,14,95,134
0.2,9,48,18,71,157
0.2,9,49,0,78,170
0.2,9,50,4,86,146
0.2,9,51,8,68,133
0.2,9,52,3,88,179
0.2,9,53,1,76,151
0.2,9,54,2,80,118
0.2,9,55,0,91,118
0.2,9,56,NA,84,109
0.2,9,57,NA,79,159
0.2,9,58,NA,98,290
0.2,9,59,NA,95,121
0.2,9,60,NA,103,166
0.2,9,61,NA,NA,NA
0.2,9,62,NA,NA,NA
0.2,9,63,NA,NA,NA
0.2,9,64,NA,NA,NA
0.2,9,65,NA,NA,NA
0.2,9,66,NA,NA,NA
0.2,9,67,NA,NA,NA
0.2,9,68,NA,NA,NA
0.2,9,69,NA,NA,NA
0.2,9,70,NA,NA,NA
0.2,9,71,NA,NA,NA
0.2,9,72,NA,NA,NA
0.2,9,73,NA,NA,NA
0.2,9,74,NA,NA,NA
0.2,9,75,NA,NA,NA
0.2,9,76,NA,NA,NA
0.2,9,77,NA,NA,NA
0.2,9,78,NA,NA,NA
0.2,9,79,NA,NA,NA
0.2,9,80,NA,NA,NA
0.2,9,81,NA,NA,NA
0.2,9,82,NA,NA,NA
0.2,9,83,NA,NA,NA
0.2,9,84,NA,NA,NA
0.2,9,85,NA,NA,NA
0.2,9,86,NA,NA,NA
0.2,9,87,NA,NA,NA
0.2,9,88,NA,NA,NA
0.2,9,89,NA,NA,NA
0.2,9,90,NA,NA,NA
0.2,9,91,NA,NA,NA
0.2,9,92,NA,NA,NA
0.2,9,93,NA,NA,NA
0.2,9,94,NA,NA,NA
0.2,9,95,NA,NA,NA
0.2,9,96,NA,NA,NA
0.2,9,97,NA,NA,NA
0.2,9,98,NA,NA,NA
0.2,9,99,NA,NA,NA
0.2,9,100,NA,NA,NA
0.2,9,101,NA,NA,NA
0.2,10,1,20,20,NA
0.2,10,2,20,20,NA
0.2,10,3,34,21,NA
0.2,10,4,180,112,NA
0.2,10,5,188,141,NA
0.2,10,6,135,151,NA
0.2,10,7,208,81,NA
0.2,10,8,189,107,NA
0.2,10,9,151,200,0
0.2,10,10,84,201,11
0.2,10,11,118,65,100
0.2,10,12,39,70,69
0.2,10,13,4,48,208
0.2,10,14,12,58,209
0.2,10,15,21,29,170
0.2,10,16,19,48,157
0.2,10,17,1,74,134
0.2,10,18,28,61,126
0.2,10,19,19,71,89
0.2,10,20,1,111,115
0.2,10,21,3,93,102
0.2,10,22,5,115,128
0.2,10,23,0,111,96
0.2,10,24,0,129,106
0.2,10,25,0,161,155
0.2,10,26,0,140,95
0.2,10,27,2,92,170
0.2,10,28,0,54,176
0.2,10,29,NA,42,280
0.2,10,30,NA,45,268
0.2,10,31,NA,93,164
0.2,10,32,NA,107,130
0.2,10,33,NA,125,127
0.2,10,34,NA,165,34
0.2,10,35,NA,131,175
0.2,10,36,NA,114,151
0.2,10,37,NA,110,119
0.2,10,38,NA,90,200
0.2,10,39,NA,90,159
0.2,10,40,NA,62,144
0.2,10,41,NA,111,158
0.2,10,42,NA,75,149
0.2,10,43,NA,87,171
0.2,10,44,NA,55,224
0.2,10,45,NA,118,135
0.2,10,46,NA,74,166
0.2,10,47,NA,124,117
0.2,10,48,NA,107,148
